Utterance,Intended,Onglide,AlignmentWord,AlignmentVowel,TargetHeight,refL,Speaker,DurationOpeningGesture,DisplacementOpeningGesture,Vowel,PitchAccentConsensus,PitchAccentTranscriber1,PitchAccentTranscriber2,DifferenceType,RelativeAlignmentSyllable
FOKUS155,contrastive,2.74,169.6,87.08,9.75,182.49,F3,115.703,15.35,a,H*,H*,H*,S,0.8
FOKUS158,narrow,2.16,148.79,66.45,NA,NA,F3,80.502,7.79,i,H*,H*,H*,S,0.97
FOKUS201,broad,2.12,140.14,67.42,NA,NA,F3,88.982,2.38,o,H*,H*,H*,S,0.87
FOKUS202,contrastive,2.44,156.79,80.93,NA,NA,F3,85.407,8.97,i,H*,H*,H*,S,0.96
FOKUS203,narrow,0.34,150.71,68.2,8.45,185.92,F3,103.558,13.65,a,H*,H*,H*,S,0.76
FOKUS205,broad,2.24,105.69,24.16,9.65,187.19,F3,83.263,8.54,i,H*,H*,H*,S,0.68
FOKUS207,contrastive,4.1,147.45,54.93,10.32,182.76,F3,120.115,3.64,o,H*,H*,H*,S,0.74
FOKUS208,broad,1.26,98.57,32.77,8.28,187.43,F3,96.559,10.92,a,H*,H*,H*,S,0.57
FOKUS210,narrow,2.5,155.58,60.66,9.73,187.43,F3,118.341,2.48,o,H*,H*,H*,S,0.84
FOKUS211,contrastive,2.94,167.94,88.57,9.65,188.53,F3,104.105,13.76,a,H*,H*,H*,S,0.84
FOKUS214,narrow,0.73,146.11,65.26,7.59,184.09,F3,79.212,7.21,i,H*,H*,H*,S,0.94
FOKUS217,broad,1.06,125.21,35.32,NA,NA,F3,103.612,2.63,o,H*,H*,H*,S,0.71
FOKUS218,contrastive,3.57,163.68,61.08,10.47,189.13,F3,90.033,8.48,i,H*,H*,H*,S,0.9
FOKUS219,narrow,1.04,139.03,62.05,8.2,185.35,F3,97.417,10.58,a,H*,H*,H*,S,0.75
FOKUS221,broad,0.55,86.09,4.26,7.18,189.13,F3,72.489,6.34,i,H*,H*,H*,S,0.59
FOKUS223,contrastive,4.31,143.97,62.6,10.81,185.74,F3,105.138,2.78,o,H*,H*,H*,S,0.82
FOKUS224,broad,-0.11,-50.46,-123.7,NA,NA,F3,97.565,10.37,a,H*,H+!H*,H*,DH,-0.28
FOKUS226,narrow,1,99.19,24.62,7.81,187.42,F3,90.365,1.78,o,H*,H*,H*,S,0.65
FOKUS227,contrastive,2.85,175.87,97.28,10.15,179.37,F3,110.33,13.4,a,H*,H*,H*,S,0.83
FOKUS230,narrow,0.55,125.28,40.7,7.54,187.43,F3,84.333,6.73,i,H*,H*,H*,S,0.78
FOKUS233,broad,1.39,128,43.66,NA,NA,F3,101.258,1.28,o,H*,H*,H*,S,0.77
FOKUS234,contrastive,3.22,152.33,71.41,10.17,185.72,F3,89.628,8.28,i,H*,H*,H*,S,0.91
FOKUS235,narrow,1.59,113.06,33.24,NA,NA,F3,99.339,11.56,a,H*,H*,H*,S,0.62
FOKUS237,broad,0.56,77.31,13.1,6.86,192.63,F3,71.151,5.11,i,H*,H*,H*,S,0.6
FOKUS239,contrastive,3.87,154.04,74.7,10.57,182.44,F3,106.45,3.49,o,H*,H*,H*,S,0.86
FOKUS240,broad,-3.26,-49.39,-109.18,4.49,189.13,F3,99.416,11.48,a,H+!H*,H+!H*,H+!H*,S,-0.28
FOKUS242,narrow,2.67,147.4,66.17,9.5,182.47,F3,104.499,4.21,o,H*,H*,H*,S,0.88
FOKUS243,contrastive,3.26,176.26,96.08,9.57,182.46,F3,114.327,14.39,a,H*,H*,H*,S,0.84
FOKUS246,narrow,0.73,144.19,68.11,7.8,187.43,F3,82.925,6.99,i,H*,H*,H*,S,0.94
FOKUS249,broad,0.69,88.09,7.14,7.75,189.1,F3,94.58,1.67,o,H*,H*,H*,S,0.56
FOKUS250,contrastive,2.79,163.28,82.78,9.95,185.75,F3,84.868,8.65,i,H*,H*,H*,S,0.98
FOKUS251,narrow,0.54,94.17,21.84,7.98,185.73,F3,89.294,11.07,a,H*,H*,H*,S,0.54
FOC_HN01,broad,-0.56,150.3,82.79,NA,NA,M1,87.715,7.56,i,H+!H*,H*,H+!H*,DH,0.97
FOC_HN03,contrastive,7.38,208.7,109.86,NA,NA,M1,121.978,11.9,o,L+H*,L+H*,L+H*,S,0.9
FOC_HN04,broad,-4.8,-64.58,-152.67,1.3,85.32,M1,118.359,11.32,a,H+!H*,H+!H*,H+!H*,S,-0.28
FOC_HN06,narrow,6.36,184.15,94.76,6.43,89.14,M1,111.859,6.2,o,L+H*,H*,L+H*,HLH,0.96
FOC_HN07,contrastive,6.74,246.74,147.45,6.13,88.01,M1,133.481,23.49,a,L+H*,H*,L+H*,HLH,0.88
FOC_HN10,narrow,6.55,189.61,104.76,7.37,85.75,M1,104.946,8.36,i,L+H*,H*,L+H*,HLH,0.92
FOC_HN13,broad,-5.21,-49.25,-143.68,1.49,87.18,M1,111.967,4.67,o,H+!H*,H+!H*,H+!H*,S,-0.26
FOC_HN14,contrastive,11.85,217.9,104.94,11.91,87.33,M1,123.776,8.83,i,L+H*,L+H*,L+H*,S,0.96
FOC_HN15,narrow,5.96,196.91,111.22,10.22,85.29,M1,116.366,16.63,a,L+H*,L+H*,L+H*,S,0.84
FOC_HN17,broad,-4.26,-54.89,-143.72,4.47,86.75,M1,94.8,7.52,i,H+!H*,H+!H*,H+!H*,S,-0.3
FOC_HN19,contrastive,11.87,206.93,98.6,11.5,87.43,M1,124.14,11.26,o,L+H*,L+H*,L+H*,S,0.92
FOC_HN20,broad,-7.26,-51.3,-136.26,1.62,86.14,M1,120.013,13.78,a,H+!H*,H+!H*,H+!H*,S,-0.22
FOC_HN203,broad,-5.55,-46.45,-134.73,4.63,84.58,M1,105.691,6.72,o,H+!H*,H+!H*,H+!H*,S,-0.25
FOC_HN204,contrastive,10.43,208.03,113.11,10.91,87.72,M1,112.781,8.37,i,L+H*,L+H*,L+H*,S,1.03
FOC_HN205,narrow,8.26,224.17,126.75,8.19,87.37,M1,134.098,18.57,a,L+H*,L+H*,L+H*,S,0.93
FOC_HN207,broad,-3.25,-56.78,-137.04,5.64,88.47,M1,103.355,7.3,i,H+!H*,H+!H*,H+!H*,S,-0.32
FOC_HN209,contrastive,9.72,223.83,114.07,9.56,88.16,M1,154.346,12.43,o,L+H*,L+H*,L+H*,S,0.88
