Utterance,Intended,Onglide,AlignmentWord,AlignmentVowel,TargetHeight,refL,Speaker,DurationOpeningGesture,DisplacementOpeningGesture,Vowel,PitchAccentConsensus,PitchAccentTranscriber1,PitchAccentTranscriber2,DifferenceType,RelativeAlignmentSyllable
FOKUS101,broad,-0.63,-53.27,-145.81,7.56,180.27,F1,87.287,8.78,i,H+!H*,H+!H*,H*,DH,-0.29
FOKUS103,contrastive,6.6,196.4,109.47,7.83,178.91,F1,129.963,2.98,o,L+H*,L+H*,L+H*,S,0.86
FOKUS105,broad,-4.77,-72.5,-139.36,4.57,173.46,F1,112.084,14.4,a,H+!H*,H+!H*,H+!H*,S,-0.33
FOKUS107,narrow,0.4,130.05,37.11,7.93,180.06,F1,100.729,3.7,o,H*,H*,H*,S,0.64
FOKUS108,contrastive,4.08,209.38,129.92,6.62,188.1,F1,139.716,17.16,a,L+H*,L+H*,L+H*,S,0.82
FOKUS111,narrow,5.68,183.42,96.22,7.54,188.88,F1,94.952,10.27,i,L+H*,L+H*,L+H*,S,0.96
FOKUS114,broad,-5.25,-47.93,-152.69,4.15,172.25,F1,66.008,2.39,o,H+!H*,H+!H*,H+!H*,S,-0.24
FOKUS115,contrastive,9.15,201.65,106.97,10.72,187.53,F1,104.813,11.19,i,L+H*,L+H*,L+H*,S,0.96
FOKUS116,narrow,-3.75,-62.72,-144.21,4.04,176.59,F1,109.834,13.72,a,H+!H*,H+!H*,H+!H*,S,-0.3
FOKUS118,broad,-0.87,84.73,2.79,6.97,170.89,F1,86.091,7.78,i,H+!H*,H*,H+!H*,DH,0.5
FOKUS120,contrastive,6.95,219.65,107.02,7.36,184.04,F1,125.711,5.51,o,L+H*,L+H*,L+H*,S,0.95
FOKUS121,broad,-7.52,-57.37,-132.1,1.32,172.66,F1,108.379,11.15,a,H+!H*,H+!H*,H+!H*,S,-0.27
FOKUS123,narrow,1.22,142.98,47.16,7.15,179.36,F1,92.573,2.94,o,H*,H*,H*,S,0.74
FOKUS124,contrastive,8.35,228.7,135.44,8.26,180.53,F1,130.282,16.12,a,L+H*,L+H*,L+H*,S,0.84
FOKUS127,narrow,5.26,178.45,83.04,7.45,177.09,F1,94.305,9.21,i,L+H*,L+H*,L+H*,S,0.94
FOKUS130,broad,-8.32,-38.89,-138.91,1.9,177.72,F1,102.719,2.59,o,H+!H*,H+!H*,H+!H*,S,-0.18
FOKUS131,contrastive,7.33,195.5,89.71,8.4,184.01,F1,95.88,10.19,i,L+H*,L+H*,L+H*,S,0.95
FOKUS132,narrow,4.63,196.46,115.2,5.81,182.91,F1,114.087,14.84,a,L+H*,H*,L+H*,HLH,0.86
FOKUS134,broad,6.11,-24.52,-119.51,5.65,172.62,F1,100.024,9.57,i,H+!H*,H+!H*,H+!H*,S,-0.12
FOKUS136,contrastive,7.17,211.38,103.07,7.87,178.13,F1,124.823,6.02,o,L+H*,L+H*,L+H*,S,0.9
FOKUS137,broad,-6.07,-39.33,-125.24,4.74,169.71,F1,113.969,11.89,a,H+!H*,H+!H*,H+!H*,S,-0.17
FOKUS139,narrow,5.7,183.09,101.56,7.13,183.14,F1,130.147,3.8,o,L+H*,L+H*,L+H*,S,0.87
FOKUS140,contrastive,3.93,228.81,152.05,6.41,180.68,F1,143.955,25.93,a,L+H*,L+H*,L+H*,S,0.86
FOKUS143,narrow,5.53,172.96,88.66,7.98,179.11,F1,96.58,8.21,i,L+H*,L+H*,L+H*,S,0.94
FOKUS146,broad,-7.99,-53.69,-158.19,2.09,170.54,F1,105.882,2.39,o,H+!H*,H+!H*,H+!H*,S,-0.24
FOKUS147,contrastive,6.35,234.7,134.38,9.74,176.84,F1,133.793,13.85,i,L+H*,L+H*,L+H*,S,0.93
FOKUS148,narrow,3.24,226.31,138.97,6.77,179.38,F1,138.911,15.66,a,L+H*,H*,L+H*,HLH,0.87
FOKUS150,broad,-5.51,-13.22,-110.9,5.41,171.33,F1,88.081,6.99,i,H+!H*,H+!H*,H+!H*,S,-0.07
FOKUS152,contrastive,-6.41,211.01,110.82,NA,180.62,F1,118.889,2.11,o,L+H*,L+H*,L+H*,S,0.91
FOKUS153,broad,-4.37,-43.41,-133.7,5.2,175.9,F1,122.33,13.64,a,H+!H*,H+!H*,H+!H*,S,-0.18
FOKUS155,narrow,5.47,194.01,88.94,6.54,175.63,F1,107.846,2.33,o,L+H*,L+H*,L+H*,S,0.9
FOKUS156,contrastive,4.98,195.47,109.41,5.42,175.9,F1,126.593,20.79,a,L+H*,L+H*,L+H*,S,0.8
FOKUS159,narrow,5.55,197.59,97.72,7.52,183.33,F1,97.843,10.96,i,L+H*,L+H*,L+H*,S,0.97
FOKUS201,broad,-2.4,-56.35,-150.58,8.36,170.75,F1,101.566,3.53,o,H+!H*,H+!H*,H+!H*,S,-0.27
FOKUS202,contrastive,7.88,198.53,99.04,8.72,172.26,F1,104.098,10.08,i,L+H*,L+H*,L+H*,S,0.94
FOKUS203,narrow,4.44,213.74,119.5,4.88,180.8,F1,126.409,18.84,a,L+H*,H*,L+H*,HLH,0.84
FOKUS205,broad,-5.1,-36.84,-115.55,5.05,177.01,F1,103.68,7.97,i,H+!H*,H+!H*,H+!H*,S,-0.19
FOKUS207,contrastive,6.74,228.05,114.58,7.57,179.33,F1,138.637,5.83,o,L+H*,L+H*,L+H*,S,0.9
FOKUS208,broad,-5.14,-42.04,-127.63,5.23,173.76,F1,128.484,10.59,a,H+!H*,H+!H*,H+!H*,S,-0.17
FOKUS210,narrow,3.59,189.81,102.64,6.35,182.39,F1,127.43,2.65,o,L+H*,L+H*,L+H*,S,0.89
FOKUS211,contrastive,4.41,228.76,140.94,5.56,181.28,F1,128.83,19.88,a,L+H*,L+H*,L+H*,S,0.89
FOKUS214,narrow,5.22,201.85,108.52,7.73,176.45,F1,105.275,10.15,i,L+H*,L+H*,L+H*,S,0.96
FOKUS217,broad,-6.34,-28.5,-128.59,3.42,171.3,F1,83.314,2.98,o,H+!H*,H+!H*,H+!H*,S,-0.15
FOKUS218,contrastive,8.96,199.87,110.03,11.52,177.53,F1,107.785,11.47,i,L+H*,L+H*,L+H*,S,0.96
FOKUS219,narrow,-1.41,-58.28,-150.66,6.14,181.53,F1,112.566,16.46,a,H+!H*,H+!H*,H*,DH,-0.24
FOKUS221,broad,5.93,44.94,-48.86,4.19,176.82,F1,94.836,7.36,i,H+!H*,H+!H*,H+!H*,S,0.26
FOKUS223,contrastive,7.71,223.73,118.19,8.26,180.75,F1,108.906,4.91,o,L+H*,L+H*,L+H*,S,0.94
FOKUS224,broad,-8.66,-43.72,-130.17,1.41,171.75,F1,111.56,12.73,a,H+!H*,H+!H*,H+!H*,S,-0.2
FOKUS226,narrow,4.02,191.09,86.21,8.17,175.58,F1,126.598,4.9,o,L+H*,L+H*,L+H*,S,0.88
FOKUS227,contrastive,3.51,208.26,119.69,4.98,184,F1,130.801,20.62,a,H*,H*,L+H*,HLH,0.82
FOKUS230,narrow,6.83,195.58,102.69,8.89,190.19,F1,102.682,10.45,i,L+H*,L+H*,L+H*,S,0.97
FOKUS233,broad,-5.49,-28.41,-123.85,5.37,174.29,F1,94.522,2.28,o,H+!H*,H+!H*,H+!H*,S,-0.15
FOKUS234,contrastive,9.26,219.79,112.11,11.27,182.69,F1,108.828,12.11,i,L+H*,L+H*,L+H*,S,0.97
FOKUS235,narrow,-1.36,-38.52,-129.78,7.18,180.78,F1,123.244,16.3,a,H+!H*,H+!H*,H*,DH,-0.16
FOKUS237,broad,-5.74,-20.53,-120.39,5.6,171.39,F1,91.008,7.06,i,H+!H*,H+!H*,H+!H*,S,-0.11
FOKUS239,contrastive,9.63,214.82,103.74,10.12,179.78,F1,141.585,4.79,o,L+H*,L+H*,L+H*,S,0.89
FOKUS240,broad,-4.67,-46.91,-142.37,5.05,172.35,F1,123.832,13.18,a,H+!H*,H+!H*,H+!H*,S,-0.19
FOKUS242,narrow,5.22,193.77,92.71,6.68,185.75,F1,113.791,4.02,o,L+H*,L+H*,L+H*,S,0.91
FOKUS243,contrastive,5.88,228.56,140.32,6.78,177.72,F1,123.461,17.67,a,L+H*,L+H*,L+H*,S,0.86
FOKUS246,narrow,8.28,200.73,98.34,9.29,193.34,F1,103.638,10.25,i,L+H*,L+H*,L+H*,S,0.97
FOKUS249,broad,-7.44,-47.7,-149.84,4.58,167.78,F1,95.092,2.54,o,H+!H*,H+!H*,H+!H*,S,-0.24
FOKUS250,contrastive,8.03,216.44,108.5,11.12,183.3,F1,104.118,11.45,i,L+H*,L+H*,L+H*,S,0.97
FOKUS251,narrow,5.96,208.94,128.82,6.71,183.23,F1,136.699,14.93,a,L+H*,L+H*,L+H*,S,0.84
FOCUS01,broad,-1.94,-45.31,-128.68,3.07,150.81,F2,101.07,7.22,i,H+!H*,H+!H*,H+!H*,S,-0.26
FOCUS03,contrastive,4.92,197.56,100.1,7.54,148.2,F2,121.426,4.32,o,L+H*,L+H*,L+H*,S,0.99
FOCUS04,broad,-3.05,-36.72,-122.24,2.64,147.64,F2,122.162,11.31,a,H+!H*,H+!H*,H+!H*,S,-0.18
FOCUS06,narrow,-0.06,118.96,20.64,6.31,149.5,F2,114.191,4.47,o,H*,L+H*,H*,HLH,0.61
FOCUS07,contrastive,NA,229.85,124.15,5.95,150.37,F2,142.579,19.98,a,L+H*,L+H*,L+H*,S,0.92
FOCUS10,narrow,3.21,164.83,71.03,8.36,145.89,F2,94.356,5.8,i,L+H*,L+H*,L+H*,S,0.94
FOCUS13,broad,-2.88,-34.13,-127.45,3.39,143.47,F2,109.065,4.02,o,H+!H*,H+!H*,H+!H*,S,-0.17
FOCUS14,contrastive,7.45,194.41,100.16,9.36,147.24,F2,119.08,8.19,i,L+H*,L+H*,L+H*,S,0.96
FOCUS15,narrow,-2.91,-41.03,-137.55,2.36,148.67,F2,124.788,11.79,a,H+!H*,H+!H*,H+!H*,S,-0.19
FOCUS17,broad,-2.33,-34.61,-123.56,3.34,147.46,F2,96.83,5.47,i,H+!H*,H+!H*,H+!H*,S,-0.2
FOCUS19,contrastive,6.53,186.61,91.54,8.05,147.42,F2,119.328,4.75,o,L+H*,L+H*,L+H*,S,0.95
FOCUS20,broad,-3.8,-23.9,-114.59,2.17,146.74,F2,129.675,12.21,a,H+!H*,H+!H*,H+!H*,S,-0.11
FOCUS201,broad,-2.73,-51.64,-146.42,5.28,143.88,F2,114.62,5.09,o,H+!H*,H+!H*,H+!H*,S,-0.26
FOCUS202,contrastive,8.62,178.47,76.86,9.7,139,F2,105.609,5.89,i,L+H*,L+H*,L+H*,S,0.95
FOCUS203,narrow,1.39,173.25,79.79,5.97,138.44,F2,124.227,11.93,a,H*,H*,H*,S,0.79
FOCUS205,broad,-4.58,-42.61,-131.96,4.04,138.51,F2,96.091,5.25,i,H+!H*,H+!H*,H+!H*,S,-0.25
FOCUS207,contrastive,7.34,190.82,78.17,9.14,131.93,F2,121.955,3.98,o,L+H*,L+H*,L+H*,S,0.93
FOCUS208,broad,-6.51,-34.92,-117.91,3.54,123.57,F2,121.291,11.95,a,H+!H*,H+!H*,H+!H*,S,-0.17
FOCUS210,narrow,0.16,-43.45,-137.72,9.25,135.35,F2,116.197,2.88,o,H*,H+!H*,H*,DH,-0.22
FOCUS211,contrastive,7.21,218.12,111.87,7.8,138.6,F2,135.092,14.73,a,L+H*,L+H*,L+H*,S,0.92
FOCUS217,broad,-6.79,-59.8,-144.54,3.07,124.81,F2,105.288,2.38,o,H+!H*,H+!H*,H+!H*,S,-0.33
FOCUS218,contrastive,8.93,194.92,95.74,11.32,133.14,F2,115.425,7.27,i,L+H*,L+H*,L+H*,S,0.97
FOCUS219,narrow,-2.36,-39.79,-123.33,NA,NA,F2,122.517,13.14,a,H+!H*,H+!H*,H+!H*,S,-0.19
FOCUS22,narrow,-0.49,-57.85,-153.98,5.16,148.18,F2,110.366,2.65,o,H+!H*,H+!H*,H*,DH,-0.29
FOCUS221,broad,-6.93,-44.89,-150.05,NA,NA,F2,99.883,4.88,i,H+!H*,H+!H*,H+!H*,S,-0.23
FOCUS223,contrastive,9.85,197.59,90.2,10.49,133.69,F2,114.587,3.47,o,L+H*,L+H*,L+H*,S,0.96
FOCUS224,broad,-6.79,-40.27,-133.98,2.47,128.04,F2,123.171,10.46,a,H+!H*,H+!H*,H+!H*,S,-0.19
FOCUS226,narrow,-4.48,-46.69,-151.52,5.97,127.57,F2,117.565,3.69,o,H+!H*,H+!H*,H+!H*,S,-0.23
FOCUS227,contrastive,6.99,204.75,109.58,8.5,133.41,F2,119.242,14.65,a,L+H*,L+H*,L+H*,S,0.92
FOCUS23,contrastive,5.01,208.38,119.58,6.9,139.41,F2,128.637,15.57,a,L+H*,L+H*,L+H*,S,0.94
FOCUS230,narrow,-0.28,-44.9,-132.45,10.57,131.36,F2,98.591,6.16,i,H*,H+!H*,H*,DH,-0.24
FOCUS233,broad,-4.81,-48.95,-145.47,2.07,144.04,F2,109.567,3.28,o,H+!H*,H+!H*,H+!H*,S,-0.25
FOCUS234,contrastive,NA,208.32,91.06,NA,NA,F2,118.593,7.92,i,L+H*,L+H*,L+H*,S,0.97
FOCUS236,narrow,-5.6,-40.11,-119.37,4.73,129.63,F2,118.647,12.64,a,H+!H*,H+!H*,H+!H*,S,-0.2
FOCUS238,broad,-5.58,-30.06,-120.79,2.97,141.46,F2,107.217,4.46,i,H+!H*,H+!H*,H+!H*,S,-0.16
FOCUS240,contrastive,8.8,186.28,89.09,10.78,128.64,F2,112.263,4.43,o,L+H*,L+H*,L+H*,S,0.9
FOCUS241,broad,-8.16,-42.07,-122.23,NA,NA,F2,111.064,8.73,a,H+!H*,H+!H*,H+!H*,S,-0.21
FOCUS243,narrow,-3.36,-50.05,-138.74,7.12,131.29,F2,121.474,3.19,o,H+!H*,H+!H*,H+!H*,S,-0.26
FOCUS244,contrastive,NA,269.45,183.76,11.43,133.73,F2,129.837,13.73,a,L+H*,NA,L+H*,M,1.27
FOCUS247,narrow,-6.47,-41.22,-136.02,6.42,123.43,F2,105.381,7.07,i,H+!H*,H+!H*,H+!H*,S,-0.22
FOCUS250,broad,-6.41,-46.52,-124.95,NA,NA,F2,106.218,2.33,o,H+!H*,H+!H*,H+!H*,S,-0.27
FOCUS251,contrastive,13.09,264.84,176.64,13.48,134.35,F2,108.922,7.44,i,L+H*,NA,L+H*,M,1.42
FOCUS252,narrow,4.93,181.18,95.1,8.3,131.95,F2,124.669,12.43,a,L+H*,L+H*,L+H*,S,0.86
